Id_bien;Code_dep_code_commune;No_voie;Type_de_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
33000;69029;294;RTE;DE GENAS;9;92,6;91;Appartement
33001;69100;12;RUE;6890;4;85,01;84;Appartement
33002;69143;24;AV;BURDEAU;4;105,43;100;Maison
33003;69199;16;RUE;LOUIS BLANC;2;35,22;35;Appartement
33004;69204;30;CHE;DE CHAZELLES;1;21,43;21;Appartement
33005;69204;11;;ROUTE D'IRIGNY;4;63,57;63;Appartement
33006;69259;19;RUE;GASPARD PICARD;2;28;26;Appartement
33007;69264;134;RUE;ANTOINE ARNAUD;2;43,16;43;Appartement
33008;69298;17;RUE;DES EPIS;4;81,26;83;Maison
33009;69382;1;RUE;DU PLAT;3;63,76;60;Appartement
33010;69383;12;AV;LACASSAGNE;3;67,18;68;Appartement
33011;69383;30;RUE;BARABAN;5;93,2;93;Appartement
33012;69384;2;RUE;HENRI GORJUS;4;36,55;58;Appartement
33013;69388;275;AV;BERTHELOT;2;52,13;51;Appartement
33014;69389;18;RUE;ROGER SALENGRO;3;62,03;64;Appartement
33015;70311;5;RUE;DES 7 CHEVAUX;4;68,3;69;Appartement
33016;71076;2;RUE;DE L ASILE;1;27;30;Appartement
33017;71076;5;RUE;DE LA LIBERTE;2;42,5;43;Appartement
33018;72181;5;RUE;DU CORNET;6;199,37;230;Appartement
33019;72181;17;RUE;DU BOURG BELE;2;40,81;42;Appartement
33020;73015;5638;;IMM LE CREUX DE L OURS;1;18,6;19;Appartement
33021;74010;7;RUE;FELIX PETIT;3;68,07;68;Appartement
33022;74012;23;RUE;DES GLIERES;3;67,88;68;Appartement
33023;74042;135;ALL;CARDUCCI;3;65,7;65;Appartement
33024;74083;1182;RTE;DE LA CRY CUCHET;3;51,43;44;Appartement
33025;74133;8;RUE;DU LIEUTENANT YVAN GENOT;3;61,68;61;Appartement
33026;74236;1031;CHE;DES CHATTRIX;1;19,38;19;Appartement
33027;74298;1;ALL;DU CHATEAU DE LIVRON;4;80,34;80;Appartement
33028;75101;15;RUE;DU JOUR;2;25,04;25;Appartement
33029;75102;56;RUE;DU LOUVRE;2;43,9;45;Appartement
33030;75103;9;RUE;GRENETA;4;91,05;92;Appartement
33031;75103;10;RUE;DES COUTURES SAINT GERVAIS;3;62,98;70;Appartement
33032;75103;15;RUE;DE BEARN;1;24,23;22;Appartement
33033;75108;74;RUE;DU FAUBOURG SAINT HONORE;2;39,82;45;Appartement
33034;75109;23;RUE;TURGOT;1;18,51;18;Appartement
33035;75109;36;RUE;DE BELLEFOND;1;15,51;16;Appartement
33036;75110;3;PAS;DU MARCHE;1;11,54;11;Appartement
33037;75110;13;BD;DE MAGENTA;3;74,94;80;Appartement
33038;75110;149;AV;PARMENTIER;2;37,8;38;Appartement
33039;75110;27;RUE;DE SAMBRE ET MEUSE;1;20,01;20;Appartement
33040;75110;212;RUE;LA FAYETTE;3;56,31;57;Appartement
33041;75111;9;RUE;DES TROIS BORNES;3;62,76;55;Appartement
33042;75111;17;BD;DE BELLEVILLE;1;17,12;23;Appartement
33043;75111;47;RUE;SAINT MAUR;2;21,04;23;Appartement
33044;75111;50;RUE;RICHARD LENOIR;1;20,41;20;Appartement
33045;75112;59;AV;DE SAINT MANDE;2;34,8;36;Appartement
33046;75112;6;RUE;DU DOCTEUR GOUJON;1;17,56;18;Appartement
33047;75112;39;BD;DE REUILLY;3;53,62;55;Appartement
33048;75112;191;AV;DAUMESNIL;2;34,02;36;Appartement
33049;75112;120;AV;DAUMESNIL;4;81,5;79;Appartement
33050;75116;34;BD;EXELMANS;3;64,34;68;Appartement
33051;75116;12;RUE;RAYNOUARD;5;194;200;Appartement
33052;75116;6;RUE;OSWALDO CRUZ;3;67,35;64;Appartement
33053;75116;123;RUE;DE LA TOUR;1;28,1;28;Appartement
33054;75116;10;RUE;CORTAMBERT;2;23,02;19;Appartement
33055;75117;18;RUE;JULIETTE LAMBER;2;41,03;40;Appartement
33056;75117;1;RUE;LEBOUTEUX;2;35,05;30;Appartement
33057;75117;109;RUE;DES DAMES;1;13,85;14;Appartement
33058;75117;23;RUE;DU DOCTEUR HEULIN;1;12,35;11;Appartement
33059;75118;17;VLA;SAINT MICHEL;2;40,07;41;Appartement
33060;75118;20;RUE;ACHILLE MARTINET;2;36,62;38;Appartement
33061;75118;38;RUE;DES SAULES;1;16,18;16;Appartement
33062;75118;108;BD;ROCHECHOUART;3;67,76;76;Appartement
33063;75118;39;RUE;DOUDEAUVILLE;4;77,55;71;Appartement
33064;75118;56;RUE;DE TORCY;2;61,17;63;Appartement
33065;75119;29;AV;SECRETAN;3;38,58;37;Appartement
33066;75119;80;RUE;CURIAL;2;48,14;48;Appartement
33067;75119;58;RUE;DE LA VILLETTE;2;36,27;35;Appartement
33068;75119;68;AV;SIMON BOLIVAR;1;22,69;22;Appartement
33069;75119;1;RUE;EDGAR POE;3;153,8;147;Appartement
33070;75120;340;RUE;DES PYRENEES;3;53,89;51;Appartement
33071;75120;57;RUE;DE LA MARE;5;44,05;105;Appartement
33072;75120;119;RUE;DES AMANDIERS;3;79,89;80;Appartement
33073;75120;73;RUE;DE BAGNOLET;1;26,01;27;Appartement
33074;75120;18;RUE;DE LAGNY;1;17,01;16;Appartement
33075;76540;1;RUE;HECTOR BERLIOZ;4;77,58;81;Appartement
33076;76540;1;PL;DE HANOVRE;1;16,08;16;Appartement
33077;76540;1;PL;DE HANOVRE;1;16,84;16;Appartement
33078;76540;1;PL;DE HANOVRE;1;16,03;16;Appartement
33079;77014;3;ALL;DES NARCISSES;5;89,27;85;Maison
33080;77083;1;PL;DES AUBEPINES;2;51,95;52;Appartement
33081;77108;3;RUE;DE LA LIBERTE;4;75,84;76;Appartement
33082;77108;55;AV;FRANCOIS MITTERRAND;2;28,75;35;Appartement
33083;77108;12;CRS;JACQUES CHABAN DELMAS;2;41,69;42;Appartement
33084;77122;1;ALL;DU PARC MENCHY;2;40,14;40;Appartement
33085;77186;63;RUE;DU CHATEAU;1;26,91;23;Appartement
33086;77249;3;RUE;DU LYS;5;97,25;95;Maison
33087;77268;60;RUE;DU MOULIN A VENT;2;34,97;34;Appartement
33088;77284;7;AV;DU MARECHAL FOCH;2;39,21;40;Appartement
33089;77284;8;AV;DU MARECHAL FOCH;2;37,14;37;Appartement
33090;77284;4;IMP;MACIET;2;46,98;34;Appartement
33091;77288;11;RUE;DELAUNOY;1;34,26;34;Appartement
33092;77337;6;ALL;DES ERABLES;5;100;97;Appartement
33093;77373;1;RUE;ETIENNE;7;129,49;130;Maison
33094;77379;16;RUE;DU DOCTEUR SCHWEITZER;3;62,58;63;Appartement
33095;77468;3;RUE;DE LA MARE AUX MARCHAIS;3;64,41;64;Appartement
