Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","110.07518","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","110.621689","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","109.120602","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","106.224529","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","105.524457","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","105.157841","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","106.198745","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","106.680132","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","106.5293","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","105.693229","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","107.54634","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","108.044086","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","106.382112","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","108.328094","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","108.832997","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","107.612814","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","107.875785","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","104.34146","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","108.133496","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","110.295114","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","111.441665","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","110.731645","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","111.015653","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","103.201275","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","105.201303","X","Ciffre de sources internationales","base year is 2015"
